"Manager","Report Date","Value ($000)","Shares","Option Type"
"CITADEL ADVISORS LLC","12/31/2023","1,977","89,500","put"
"Janney Montgomery Scott LLC","12/31/2023","1,962","88,799",""
"Argent Trust Co","12/31/2023","1,872","84,729",""
"Squarepoint Ops LLC","12/31/2023","1,844","83,450",""
"Americana Partners, LLC","12/31/2023","1,798","81,372",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","1,751","79,246",""
"Metis Global Partners, LLC","12/31/2023","1,746","79,016",""
"Allspring Global Investments Holdings, LLC","12/31/2023","1,738","78,653",""
"Wambolt & Associates, LLC","12/31/2023","1,734","78,505",""
"Richard P Slaughter Associates Inc","12/31/2023","1,711","77,443",""
"AEGON ASSET MANAGEMENT UK Plc","12/31/2023","1,710","77,122",""
"Quantbot Technologies LP","12/31/2023","1,669","75,533",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2023","1,593","72,120",""
"BENJAMIN F. EDWARDS & COMPANY, INC.","12/31/2023","1,529","69,186",""
"Erste Asset Management GmbH","12/31/2023","1,526","68,900",""
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2023","1,401","63,428",""
"HRT FINANCIAL LP","12/31/2023","1,391","62,944",""
"Walleye Capital LLC","12/31/2023","1,324","59,950",""
"Qtron Investments LLC","12/31/2023","1,230","55,393",""
"PITCAIRN CO","12/31/2023","1,185","53,656",""
"Cubist Systematic Strategies, LLC","12/31/2023","1,184","53,579",""
"Assenagon Asset Management S.A.","12/31/2023","1,167","52,561",""
"Cetera Advisors LLC","12/31/2023","1,155","52,299",""
"BURNEY CO/","12/31/2023","1,142","51,683",""
"Cerity Partners LLC","12/31/2023","1,122","50,795",""
"Moors & Cabot, Inc.","12/31/2023","1,117","50,555",""
"Ashton Thomas Private Wealth, LLC","12/31/2023","1,116","50,499",""
"S. R. Schill & Associates","12/31/2023","1,094","49,513",""
"KESTRA PRIVATE WEALTH SERVICES, LLC","12/31/2023","1,069","48,404",""
"SEVEN EIGHT CAPITAL, LP","12/31/2023","1,069","48,378",""
"SIGNATUREFD, LLC","12/31/2023","1,052","47,604",""
"Mork Capital Management, LLC","12/31/2023","1,037","46,940",""
"Walleye Trading LLC","12/31/2023","1,032","46,700","put"
"JOHNSON INVESTMENT COUNSEL INC","12/31/2023","1,026","46,434",""
"Advisors Asset Management, Inc.","12/31/2023","1,012","45,802",""
"DGS Capital Management, LLC","12/31/2023","996","45,093",""
"Triasima Portfolio Management inc.","12/31/2023","985","44,500",""
"MML INVESTORS SERVICES, LLC","12/31/2023","969","43,830",""
"Sageworth Trust Co","12/31/2023","951","43,048",""
"Vanguard Personalized Indexing Management, LLC","12/31/2023","945","42,794",""
"Connectus Wealth, LLC","12/31/2023","941","42,584",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2023","932","42,173",""
"HOLLENCREST CAPITAL MANAGEMENT","12/31/2023","901","40,786",""
"BARTLETT & CO. WEALTH MANAGEMENT LLC","12/31/2023","895","40,557",""
"Bartlett & Co. LLC","12/31/2023","0","40,557",""
"True Wealth Design, LLC","12/31/2023","893","40,416",""
"PEAPACK GLADSTONE FINANCIAL CORP","12/31/2023","888","40,161",""
"Kestra Advisory Services, LLC","12/31/2023","885","40,071",""
"Cetera Advisor Networks LLC","12/31/2023","883","39,966",""
"M&T Bank Corp","12/31/2023","881","39,907",""
"AXQ CAPITAL, LP","12/31/2023","879","39,800",""
"State of Wyoming","12/31/2023","865","39,036",""
"Orion Portfolio Solutions, LLC","12/31/2023","850","38,847",""
"Orion Porfolio Solutions, LLC","12/31/2023","850","38,847",""
"TODD ASSET MANAGEMENT LLC","12/31/2023","845","38,254",""
"Pathstone Holdings, LLC","12/31/2023","826","37,389",""
"Versor Investments LP","12/31/2023","819","37,076",""
"Measured Wealth Private Client Group, LLC","12/31/2023","818","37,025",""
"Marks Group Wealth Management, Inc","12/31/2023","810","36,679",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","802","36,300","put"
"FineMark National Bank & Trust","12/31/2023","768","34,786",""
"Aigen Investment Management, LP","12/31/2023","766","34,701",""
"WOLVERINE TRADING, LLC","12/31/2023","762","34,500","call"
"Gallagher Fiduciary Advisors, LLC","12/31/2023","759","34,380",""
"BOKF, NA","12/31/2023","756","34,214",""
