Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
PIONEER NATURAL RESOURCES CO,"  2,528,187.00 "," $ 58,662,262,000 ", $ 228.39 ,"  3,350,144 ","  165,350,144 ",0.98%,"  32,975.47 ","  1,627,541.42 "
PLAINS ALL AMER PIPELINE LP,"  6,373,366.00 "," $ 18,928,648,900 ", $ 11.76 ,"  1,984,000 ","  1,984,000 ",0.40%,"  7,855.94 ","  7,855.94 "
PUBLIC SERVICE ENTERPRISE GP,"  256,819.00 "," $ 50,425,190,000 ", $ 61.27 ,"  2,868,611 ","  2,868,611 ",0.03%,  895.16 ,  895.16 
RWE AG,"  159,979.00 "," $ 33,269,047,737 ", $ 44.64 ,"  85,500,000 ","  107,600,000 ",0.02%,"  18,351.47 ","  23,094.95 "
SASOL LTD,"  13,759.00 "," $ 18,610,776,214 "," $ 2,185.74 ","  63,571,398 ","  101,128,398 ",0.16%,"  102,726.47 ","  163,415.68 "
SCHLUMBERGER LTD,"  1,317,133.00 "," $ 86,248,200,000 ", $ 53.46 ,"  1,884,000 ","  36,733,000 ",0.08%,"  1,538.12 ","  29,989.20 "
SECURE ENERGY SERVICES INC,"  529,147.00 "," $ 2,358,931,282 ", $ 5.19 ,"  238,196 ","  238,196 ",0.12%,  277.42 ,  277.42 
SEMPRA,"  758,758.00 "," $ 80,593,561,000 ", $ 77.27 ,"  7,428,409 ","  74,077,706 ",0.07%,"  5,403.93 ","  53,889.16 "
SHELL PLC,"  5,966,803.00 "," $ 241,953,060,700 "," $ 2,326.00 ","  59,000,000 ","  1,262,750,000 ",5.74%,"  3,384,326.86 ","  72,433,199.09 "
SOUTHERN CO/THE,"  650,718.00 "," $ 139,821,590,000 ", $ 71.41 ,"  85,111,461 ","  123,629,262 ",0.03%,"  28,285.62 ","  41,086.48 "
SOUTHWESTERN ENERGY CO,"  55,784.00 "," $ 10,951,595,700 ", $ 5.85 ,"  1,287,610 ","  1,287,610 ",0.00%,  38.37 ,  38.37 
SUNCOR ENERGY INC,"  38,825,214.00 "," $ 52,499,482,930 ", $ 31.72 ,"  34,875,881 ","  177,875,881 ",2.35%,"  818,152.28 ","  4,172,785.14 "
TAMARACK VALLEY ENERGY LTD,"  857,000.00 "," $ 2,723,648,190 ", $ 3.29 ,"  534,280 ","  534,280 ",0.10%,  553.76 ,  553.76 
TARGA RESOURCES CORP,"  1,662,822.00 "," $ 30,291,003,800 ", $ 73.50 ,"  11,700,000 ","  44,300,000 ",0.40%,"  47,206.88 ","  178,740.58 "
TC ENERGY CORP,"  28,026,261.00 "," $ 85,443,971,898 ", $ 39.87 ,"  23,246,029 ","  26,764,869 ",1.31%,"  303,985.14 ","  350,000.52 "
TECK RESOURCES LTD-CLS B,"  14,069,332.00 "," $ 24,523,739,981 ", $ 37.83 ,"  2,932,000 ","  72,355,000 ",2.17%,"  63,632.25 ","  1,570,297.20 "
TOTALENERGIES SE,"  1,931,694.00 "," $ 173,138,722,900 ", $ 58.65 ,"  39,360,000 ","  488,360,000 ",0.07%,"  25,755.34 ","  319,559.86 "
TOURMALINE OIL CORP,"  3,119,881.00 "," $ 17,554,291,766 ", $ 50.46 ,"  3,012,770 ","  3,012,770 ",0.90%,"  27,018.14 ","  27,018.14 "
TRANSALTA CORP,"  21,702,928.00 "," $ 5,629,179,237 ", $ 8.94 ,"  10,247,622 ","  13,871,592 ",3.45%,"  353,368.19 ","  478,333.35 "
VALERO ENERGY CORP,"  280,006.00 "," $ 56,975,238,600 ", $ 126.86 ,"  32,328,000 ","  32,328,000 ",0.06%,"  20,155.09 ","  20,155.09 "
VERMILION ENERGY INC,"  906,980.00 "," $ 3,716,128,766 ", $ 17.70 ,"  824,207 ","  12,506,707 ",0.43%,"  3,561.22 ","  54,038.70 "
VISTA ENERGY SAB DE CV,  -   ," $ 89,076,178 ", $ 15.86 ,  -   ,  -   ,0.00%,  -   ,  -   
VISTRA CORP,"  25,789.00 "," $ 23,207,313,000 ", $ 23.20 ,"  95,005,240 ","  97,366,670 ",0.00%,"  2,449.32 ","  2,510.20 "
WEC ENERGY GROUP INC,"  178,401.00 "," $ 47,109,841,600 ", $ 93.76 ,"  19,102,000 ","  19,102,000 ",0.04%,"  6,782.38 ","  6,782.38 "
WHITECAP RESOURCES INC,"  1,102,727.00 "," $ 6,212,073,047 ", $ 7.93 ,"  2,057,232 ","  2,057,232 ",0.14%,"  2,896.72 ","  2,896.72 "
WILLIAMS COS INC,"  2,686,369.00 "," $ 65,242,200,000 ", $ 32.90 ,"  13,871,330 ","  35,989,330 ",0.14%,"  18,791.05 ","  48,753.60 "
WOODSIDE ENERGY GROUP LTD,"  1,823,163.00 "," $ 32,190,679,522 ", $ 24.15 ,"  9,573,200 ","  93,398,200 ",0.14%,"  13,091.55 ","  127,723.95 "
XCEL ENERGY INC,"  1,853,185.00 "," $ 64,451,914,800 ", $ 70.11 ,"  38,700,000 ","  62,960,000 ",0.20%,"  78,014.24 ","  126,919.29 "
,,,,,,,,
,"  468,099,406.00 ",,,"  1,982,995,790 ","  10,055,113,056 ",,"  12,464,879.18 ","  146,726,477.31 "
,,,,,,,,
,,,,,,,"  12,464,819.00 ","  146,726,417.00 "
,,,,,,,,
,,,,,,Difference,- 60.18 ,- 60.31 
