"Manager","Report Date","Value ($000)","Shares","Option Type"
"Cambridge Investment Research Advisors, Inc.","12/31/2022","955","19,502",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2022","941","19,211",""
"M&T Bank Corp","12/31/2022","859","17,554",""
"Advisors Asset Management, Inc.","12/31/2022","856","17,493",""
"ADVISOR PARTNERS II, LLC","12/31/2022","833","17,023",""
"Vident Investment Advisory, LLC","12/31/2022","831","16,966",""
"Janney Montgomery Scott LLC","12/31/2022","821","16,768",""
"PINNACLE ASSOCIATES LTD","12/31/2022","781","15,950",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2022","763","15,582",""
"AE Wealth Management LLC","12/31/2022","762","15,576",""
"CI Private Wealth, LLC","12/31/2022","756","15,327",""
"Rockefeller Capital Management L.P.","12/31/2022","747","15,263",""
"STEPHENS INC /AR/","12/31/2022","14","15,000",""
"Bogart Wealth, LLC","12/31/2022","731","14,932",""
"Bollard Group LLC","12/31/2022","718","14,657",""
"BESSEMER GROUP INC","12/31/2022","712","14,519",""
"Squarepoint Ops LLC","12/31/2022","691","14,127",""
"Campbell & CO Investment Adviser LLC","12/31/2022","689","14,077",""
"Texas Yale Capital Corp.","12/31/2022","674","13,775",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2022","672","13,733",""
"EXENCIAL WEALTH ADVISORS, LLC","12/31/2022","654","13,359",""
"SIGNATUREFD, LLC","12/31/2022","624","12,740",""
"PNC Financial Services Group, Inc.","12/31/2022","614","12,546",""
"Balentine LLC","12/31/2022","613","12,522",""
"Forum Financial Management, LP","12/31/2022","613","12,516",""
"Quantinno Capital Management LP","12/31/2022","609","12,431",""
"Hennion & Walsh Asset Management, Inc.","12/31/2022","599","12,235",""
"GUGGENHEIM CAPITAL LLC","12/31/2022","586","11,969",""
"Petrus Trust Company, LTA","12/31/2022","572","11,696",""
"Horizon Investments, LLC","12/31/2022","548","11,367",""
"TRUIST FINANCIAL CORP","12/31/2022","549","11,218",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2022","742","11,192",""
"Power Corp of Canada","12/31/2022","531","10,866",""
"TODD ASSET MANAGEMENT LLC","12/31/2022","529","10,819",""
"Gulf International Bank (UK) Ltd","12/31/2022","524","10,719",""
"Virtu Financial LLC","12/31/2022","520","10,619",""
"Merit Financial Group, LLC","12/31/2022","517","10,564",""
"SILVERCREST ASSET MANAGEMENT GROUP LLC","12/31/2022","515","10,526",""
"Bridgefront Capital, LLC","12/31/2022","514","10,503",""
"Qtron Investments LLC","12/31/2022","504","10,295",""
"Vanguard Personalized Indexing Management, LLC","12/31/2022","500","10,223",""
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2022","495","10,123",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2022","274","10,122",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2022","548","10,122",""
"Vise Technologies, Inc.","12/31/2022","491","10,037",""
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2022","491","10,024",""
"Polar Asset Management Partners Inc.","12/31/2022","489","10,000",""
"Squarepoint Ops LLC","12/31/2022","480","9,800","call"
"Cetera Advisors LLC","12/31/2022","473","9,675",""
"IEQ CAPITAL, LLC","12/31/2022","473","9,663",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2022","458","9,370",""
"Vontobel Holding Ltd.","12/31/2022","452","9,364",""
"First National Trust Co","12/31/2022","458","9,351",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2022","456","9,317",""
"Veriti Management LLC","12/31/2022","455","9,301",""
"Total Clarity Wealth Management, Inc.","12/31/2022","454","9,280",""
"XTX Topco Ltd","12/31/2022","447","9,142",""
"Pacer Advisors, Inc.","12/31/2022","437","8,933",""
"Geneos Wealth Management Inc.","12/31/2022","419","8,561",""
"BLAIR WILLIAM & CO/IL","12/31/2022","400","8,169",""
"Sequoia Financial Advisors, LLC","12/31/2022","389","7,946",""
"JOHN G ULLMAN & ASSOCIATES INC","12/31/2022","387","7,900",""
"GLENMEDE TRUST CO NA","12/31/2022","384","7,857",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2022","384","7,845",""
"Equitable Holdings, Inc.","12/31/2022","381","7,793",""
"BLUEFIN CAPITAL MANAGEMENT, LLC","12/31/2022","377","7,700",""
"Ridgewood Investments LLC","12/31/2022","375","7,657",""
"MITCHELL MCLEOD PUGH & WILLIAMS INC","12/31/2022","374","7,650",""
"Tower Research Capital LLC (TRC)","12/31/2022","373","7,619",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2022","369","7,537",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2022","369","7,529",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2022","355","7,264",""
"Cohen Investment Advisors LLC","12/31/2022","346","7,078",""
"1620 INVESTMENT ADVISORS, INC.","12/31/2022","344","7,043",""
"Allspring Global Investments Holdings, LLC","12/31/2022","334","6,832",""
"BALDWIN BROTHERS LLC/MA","12/31/2022","333","6,800",""
"First Heartland Consultants, Inc.","12/31/2022","332","6,783",""
"FAS Wealth Partners","12/31/2022","326","6,657",""
"Proquility Private Wealth Partners, LLC","12/31/2022","322","6,584",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2022","315","6,445",""
"Pinnacle Wealth Planning Services, Inc.","12/31/2022","313","6,406",""
"Moors & Cabot, Inc.","12/31/2022","305","6,235",""
"Baskin Financial Services Inc.","12/31/2022","305","6,230",""
"Hemenway Trust Co LLC","12/31/2022","304","6,210",""
