"Manager","Report Date","Value ($000)","Shares","Option Type"
"World Asset Management Inc","12/31/2019","470","6,068",""
"COMMERCE BANK","12/31/2019","470","6,056",""
"KING LUTHER CAPITAL MANAGEMENT CORP","12/31/2019","447","5,765",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2019","433","5,590",""
"Dorsey & Whitney Trust CO LLC","12/31/2019","415","5,356",""
"QUADRANT CAPITAL GROUP LLC","12/31/2019","389","5,165",""
"NICOLET ADVISORY SERVICES, LLC","12/31/2019","400","5,164",""
"Trexquant Investment LP","12/31/2019","396","5,105",""
"Brookstone Capital Management","12/31/2019","386","4,978",""
"Steward Partners Investment Advisory, LLC","12/31/2019","379","4,901",""
"PRUDENTIAL FINANCIAL INC","12/31/2019","370","4,770",""
"SEGALL BRYANT & HAMILL, LLC","12/31/2019","367","4,708",""
"MML INVESTORS SERVICES, LLC","12/31/2019","365","4,705",""
"Osborn Williams & Donohoe LLC","12/31/2019","364","4,701",""
"Focus Financial Network, Inc.","12/31/2019","362","4,671",""
"CIBC BANK USA","12/31/2019","358","4,617",""
"FIRST BUSINESS FINANCIAL SERVICES, INC.","12/31/2019","351","4,535",""
"Spotlight Asset Group, Inc.","12/31/2019","242","4,500",""
"ROWLAND & CO INVESTMENT COUNSEL/ADV","12/31/2019","346","4,476",""
"LANDAAS & CO /WI /ADV","12/31/2019","344","4,439",""
"Voya Investment Management LLC","12/31/2019","343","4,414",""
"BANK OF HAWAII","12/31/2019","342","4,407",""
"Cerebellum GP, LLC","12/31/2019","341","4,405",""
"TWO SIGMA INVESTMENTS, LP","12/31/2019","341","4,400","put"
"TWO SIGMA SECURITIES, LLC","12/31/2019","333","4,300","call"
"AE Wealth Management LLC","12/31/2019","331","4,270",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2019","429","4,262",""
"COZAD ASSET MANAGEMENT INC","12/31/2019","330","4,253",""
"TWO SIGMA SECURITIES, LLC","12/31/2019","326","4,200","put"
"Marshall Wace North America L.P.","12/31/2019","318","4,100",""
"Arden Trust Co","12/31/2019","317","4,088",""
"BRIGHTON JONES LLC","12/31/2019","314","4,047",""
"STEPHENSON NATIONAL BANK & TRUST","12/31/2019","311","4,010",""
"Boltwood Capital Management","12/31/2019","310","4,000",""
"HM PAYSON & CO","12/31/2019","310","4,000",""
"Patten Group, Inc.","12/31/2019","309","3,989",""
"Aft, Forsyth & Company, Inc.","12/31/2019","309","3,986",""
"JOHNSON INVESTMENT COUNSEL INC","12/31/2019","305","3,940",""
"North Star Investment Management Corp.","12/31/2019","302","3,897",""
"THOMPSON INVESTMENT MANAGEMENT, INC.","12/31/2019","300","3,868",""
"Guggenheim Capital LLC","12/31/2019","285","3,679",""
"Cordasco Financial Network","12/31/2019","279","3,598",""
"JAMES INVESTMENT RESEARCH INC","12/31/2019","275","3,550",""
"PUZO MICHAEL J","12/31/2019","271","3,500",""
"Kerntke Otto McGlone Wealth Management Group","12/31/2019","271","3,498",""
"DIXON HUBARD FEINOUR & BROWN INC/VA","12/31/2019","270","3,488",""
"SVA Wealth Management, LLC","12/31/2019","269","3,469",""
"UNITED CAPITAL FINANCIAL ADVISERS, LLC","12/31/2019","268","3,463",""
"KLCM Advisors, Inc.","12/31/2019","265","3,419",""
"OLD NATIONAL BANCORP /IN/","12/31/2019","260","3,350",""
"Capital Bank & Trust Co","12/31/2019","260","3,350",""
"BNP PARIBAS ARBITRAGE, SA","12/31/2019","257","3,326",""
"AMERICAN CENTURY COMPANIES INC","12/31/2019","256","3,305",""
"American Asset Management Inc.","12/31/2019","253","3,261",""
"FIRST MIDWEST BANK TRUST DIVISION","12/31/2019","249","3,208",""
"Lakeview Capital Partners, LLC","12/31/2019","248","3,205",""
"ADVISOR PARTNERS LLC","12/31/2019","253","3,204",""
"Advisory Services Network, LLC","12/31/2019","246","3,186",""
"PAPP L ROY & ASSOCIATES","12/31/2019","244","3,150",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2019","239","3,079",""
"GRIFFIN ASSET MANAGEMENT, INC.","12/31/2019","239","3,079",""
"FORA Capital, LLC","12/31/2019","238","3,072",""
"OARSMAN CAPITAL, INC.","12/31/2019","234","3,021",""
"PARK NATIONAL CORP /OH/","12/31/2019","231","2,985",""
"Voya Financial Advisors, Inc.","12/31/2019","230","2,983",""
"QS Investors, LLC","12/31/2019","231","2,981",""
"CIBC Private Wealth Group, LLC","12/31/2019","228","2,939",""
"PATTEN & PATTEN INC/TN","12/31/2019","226","2,922",""
"PRIVATE TRUST CO NA","12/31/2019","225","2,910",""
"NICOLET BANKSHARES INC","12/31/2019","222","2,866",""
"AdvisorNet Financial, Inc","12/31/2019","222","2,864",""
"Legacy Private Trust Co.","12/31/2019","220","2,836",""
"NOMURA ASSET MANAGEMENT CO LTD","12/31/2019","217","2,800",""
"CAPROCK Group, Inc.","12/31/2019","216","2,788",""
"Checchi Capital Advisers, LLC","12/31/2019","216","2,781",""
"Sandy Spring Bank","12/31/2019","215","2,774",""
"NORTH POINT PORTFOLIO MANAGERS CORP/OH","12/31/2019","213","2,750",""
"Buckingham Asset Management, LLC","12/31/2019","211","2,724",""
"SMITH, MOORE & CO.","12/31/2019","209","2,693",""
"Kingsview Wealth Management, LLC","12/31/2019","207","2,674",""
"Belpointe Asset Management LLC","12/31/2019","203","2,622",""
"Campbell & CO Investment Adviser LLC","12/31/2019","200","2,582",""
"Wealthcare Advisory Partners LLC","12/31/2019","194","2,500",""
"EXANE DERIVATIVES","12/31/2019","195","2,465",""
"tru Independence LLC","12/31/2019","80","2,401",""
"Investors Research Corp","12/31/2019","167","2,157",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2019","1,608","2,075",""
"Pacifica Partners Inc.","12/31/2019","157","2,024",""
"Walleye Trading LLC","12/31/2019","147","1,900","put"
"Parallel Advisors, LLC","12/31/2019","146","1,884",""
"Lindbrook Capital, LLC","12/31/2019","138","1,775",""
"Knights of Columbus Asset Advisors LLC","12/31/2019","135","1,736",""
"LifePlan Financial Group, Inc","12/31/2019","125","1,613",""
"BESSEMER GROUP INC","12/31/2019","114","1,470",""
"PANAGORA ASSET MANAGEMENT INC","12/31/2019","112","1,446",""
"Valeo Financial Advisors, LLC","12/31/2019","108","1,400",""
"WEBSTER BANK, N. A.","12/31/2019","109","1,400",""
"FSA Wealth Management LLC","12/31/2019","108","1,395",""
"BDO Wealth Advisors, LLC","12/31/2019","105","1,358",""
"Stonebridge Capital Advisors LLC","12/31/2019","104","1,340",""
"BARTLETT & CO. WEALTH MANAGEMENT LLC","12/31/2019","103","1,330",""
"Allworth Financial LP","12/31/2019","101","1,300",""
"TRUST CO OF VERMONT","12/31/2019","99","1,280",""
"Sowell Financial Services LLC","12/31/2019","93","1,199",""
