"Manager","Report Date","Value ($000)","Shares","Option Type"
"Candriam S.C.A.","12/31/2023","10,343","159,290",""
"Rockefeller Capital Management L.P.","12/31/2023","10,266","158,867",""
"Corient Private Wealth LLC","12/31/2023","10,150","157,086",""
"Parallax Volatility Advisers, L.P.","12/31/2023","10,125","156,700","call"
"Cubist Systematic Strategies, LLC","12/31/2023","10,048","155,500","call"
"American Assets Investment Management, LLC","12/31/2023","10,016","155,000",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2023","9,871","152,762",""
"OSSIAM","12/31/2023","9,644","148,532",""
"LOUISBOURG INVESTMENTS INC.","12/31/2023","9,439","145,372",""
"M. Kulyk & Associates, LLC","12/31/2023","9,342","144,573",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2023","8,564","132,010",""
"Hillsdale Investment Management Inc.","12/31/2023","8,527","131,919",""
"Lorne Steinberg Wealth Management Inc.","12/31/2023","8,494","131,425",""
"NATIXIS ADVISORS, L.P.","12/31/2023","8,479","131,214",""
"Eagle Ridge Investment Management","12/31/2023","8,364","129,437",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2023","8,200","126,890",""
"SEI INVESTMENTS CO","12/31/2023","8,125","125,734",""
"Gold Investment Management Ltd.","12/31/2023","7,896","122,177",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2023","7,729","119,607",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2023","10,065","118,960",""
"NewSquare Capital LLC","12/31/2023","7,562","118,766",""
"Cumberland Partners Ltd","12/31/2023","7,264","118,347",""
"Baskin Financial Services Inc.","12/31/2023","7,639","118,270",""
"GTS SECURITIES LLC","12/31/2023","7,599","117,600","put"
"Ensign Peak Advisors, Inc","12/31/2023","7,429","117,253",""
"Allianz Asset Management GmbH","12/31/2023","7,567","116,546",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2023","7,262","112,383",""
"LVM CAPITAL MANAGEMENT LTD/MI","12/31/2023","7,023","108,674",""
"Quantbot Technologies LP","12/31/2023","7,020","108,638",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2023","7,017","108,600",""
"PCJ Investment Counsel Ltd.","12/31/2023","7,006","108,431",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2023","6,827","105,643",""
"ADELL HARRIMAN & CARPENTER INC","12/31/2023","6,800","105,241",""
"AMERIPRISE FINANCIAL INC","12/31/2023","8,176","104,761",""
"Fiduciary Trust Co","12/31/2023","6,312","97,686",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2023","6,243","96,614",""
"Polar Capital Holdings Plc","12/31/2023","7,269","95,178",""
"STIFEL FINANCIAL CORP","12/31/2023","6,146","95,111",""
"DAVIS-REA LTD.","12/31/2023","6,116","94,360",""
"Insight Folios Inc","12/31/2023","5,988","92,672",""
"Eastover Investment Advisors LLC","12/31/2023","5,830","90,233",""
"Metis Global Partners, LLC","12/31/2023","5,680","87,915",""
"LBP AM SA","12/31/2023","5,607","86,362",""
"Beaton Management Co. Inc.","12/31/2023","5,485","84,877",""
"HENNESSY ADVISORS INC","12/31/2023","5,479","84,800",""
"Assenagon Asset Management S.A.","12/31/2023","5,434","83,702",""
"Cutler Group LLC / CA","12/31/2023","125","76,800","call"
"Lombard Odier Asset Management (Europe) Ltd","12/31/2023","4,952","76,604",""
"SHELL ASSET MANAGEMENT CO","12/31/2023","4,894","75,372",""
"JTC Employer Solutions Trustee Ltd","12/31/2023","4,590","71,315",""
"Epoch Investment Partners, Inc.","12/31/2023","4,526","70,047",""
"OSAIC HOLDINGS, INC.","12/31/2023","4,503","69,654",""
